"postage",": the fee for postal service : adhesive stamps or printed indicia representing postal fees"
"psalm",": a sacred song or poem used in worship : one of the biblical hymns collected in the Book of Psalms"
"pseudo",": being apparently rather than actually as stated : SHAM, SPURIOUS"
"pseudonym",": a fictitious name : PEN NAME"
"psi",": the 23rd letter of the Greek alphabet
see Alphabet Table"
"psych",": PSYCHOANALYZE : to anticipate correctly the intentions or actions of : OUTGUESS : to analyze or figure out (something, such as a problem or course of action) : to make psychologically uneasy : INTIMIDATE, SCARE : to make (someone, such as oneself) psychologically ready especially for performance"
"psyche",": a princess loved by Cupid : SOUL, PERSONALITY : the totality of elements forming the mind (see MIND entry 1 sense 2) : the id, ego, and superego including both conscious and unconscious components"
"psychedelic",": a psychedelic drug (such as LSD)"
"psychiatric",": a branch of medicine that deals with mental, emotional, or behavioral disorders"
"psychiatrist",": a medical doctor who diagnoses and treats mental, emotional, and behavioral disorders : a specialist in psychiatry"
"psychiatrists",": a medical doctor who diagnoses and treats mental, emotional, and behavioral disorders : a specialist in psychiatry"
"psychiatry",": a branch of medicine that deals with mental, emotional, or behavioral disorders"
"psychic",": of or relating to the psyche : PSYCHOGENIC : lying outside the sphere of physical science or knowledge : immaterial, moral, or spiritual in origin or force : sensitive to nonphysical or supernatural forces and influences : marked by extraordinary or mysterious sensitivity, perception, or understanding"
"psycho",": PSYCHOPATH"
"psychoanalysis",": a method of analyzing psychic phenomena and treating emotional disorders that involves treatment sessions during which the patient is encouraged to talk freely about personal experiences and especially about early childhood and dreams"
