"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"sporty",": of, relating to, or typical of sports, sportsmen, sportswomen, or sportswear : resembling a sports car in styling or performance"
"spot",": a taint on character or reputation : FAULT : a small area visibly different (as in color, finish, or material) from the surrounding area : an area marred or marked (as by dirt) : a circumscribed surface lesion of disease (such as measles) or decay : a conventionalized design used on playing cards to distinguish the suits and indicate values : an object having a specified number of spots or a specified numeral on its surface : a small quantity or amount : BIT : a particular place, area, or part : a small extent of space : a small croaker (Leiostomus xanthurus) of the Atlantic coast with a black spot behind the opercula : a particular position (as in an organization or a hierarchy) : a place or appearance on an entertainment program : SPOTLIGHT : a position usually of difficulty or embarrassment : a brief announcement or advertisement broadcast between scheduled radio or television programs : a brief segment or report on a broadcast especially of news"
"spotless",": having no spot: : free from impurity : IMMACULATE : PURE, UNBLEMISHED"
"spotlight",": a projected spot of light used to illuminate brilliantly a person, object, or group on a stage : public notice or attention : a light designed to direct a narrow intense beam of light on a small area : something that illuminates brilliantly"
"spots",": a taint on character or reputation : FAULT : a small area visibly different (as in color, finish, or material) from the surrounding area : an area marred or marked (as by dirt) : a circumscribed surface lesion of disease (such as measles) or decay : a conventionalized design used on playing cards to distinguish the suits and indicate values : an object having a specified number of spots or a specified numeral on its surface : a small quantity or amount : BIT : a particular place, area, or part : a small extent of space : a small croaker (Leiostomus xanthurus) of the Atlantic coast with a black spot behind the opercula : a particular position (as in an organization or a hierarchy) : a place or appearance on an entertainment program : SPOTLIGHT : a position usually of difficulty or embarrassment : a brief announcement or advertisement broadcast between scheduled radio or television programs : a brief segment or report on a broadcast especially of news"
"spotted",": marked with spots : being sullied : TARNISHED : characterized by the appearance of spots"
"spotting",": a taint on character or reputation : FAULT : a small area visibly different (as in color, finish, or material) from the surrounding area : an area marred or marked (as by dirt) : a circumscribed surface lesion of disease (such as measles) or decay : a conventionalized design used on playing cards to distinguish the suits and indicate values : an object having a specified number of spots or a specified numeral on its surface : a small quantity or amount : BIT : a particular place, area, or part : a small extent of space : a small croaker (Leiostomus xanthurus) of the Atlantic coast with a black spot behind the opercula : a particular position (as in an organization or a hierarchy) : a place or appearance on an entertainment program : SPOTLIGHT : a position usually of difficulty or embarrassment : a brief announcement or advertisement broadcast between scheduled radio or television programs : a brief segment or report on a broadcast especially of news"
"spouse",": married person : HUSBAND, WIFE"
"spouses",": married person : HUSBAND, WIFE"
"spout",": to eject (liquid) in a stream : to speak or utter readily, volubly, and at length : to speak or utter in a pompous or oratorical manner : DECLAIM"
"sprained",": a sudden or violent twist or wrench of a joint with stretching or tearing of ligaments : a sprained condition"
"sprang",": a weaving technique in which threads or cords are intertwined and twisted over one another to form an openwork mesh"
"sprawling",": to lie or sit with arms and legs spread out : to spread or develop irregularly or without restraint : to creep or clamber awkwardly : to lie thrashing or tossing about"
"spray",": a usually flowering branch or shoot : a decorative flat arrangement of flowers and foliage (as on a coffin) : something (such as a jeweled pin) resembling a spray"
"sprayed",": a usually flowering branch or shoot : a decorative flat arrangement of flowers and foliage (as on a coffin) : something (such as a jeweled pin) resembling a spray"
"spraying",": a usually flowering branch or shoot : a decorative flat arrangement of flowers and foliage (as on a coffin) : something (such as a jeweled pin) resembling a spray"
"sprays",": a usually flowering branch or shoot : a decorative flat arrangement of flowers and foliage (as on a coffin) : something (such as a jeweled pin) resembling a spray"
"spread",": to open or expand over a larger area : to stretch out : EXTEND : to distribute over an area : to distribute over a period or among a group : to apply on a surface : to cover or overlay something with : to cover completely : to prepare or furnish for dining : SET : SERVE : to make widely known : to extend the range or incidence of : DIFFUSE, EMIT : to push apart by weight or force"
